word,score,high_count,low_count
blueground,5.145724625349481,179,0
cafetiere,4.20126301650863,69,0
guidance,4.127155044354907,64,0
pack,3.923059688011392,105,1
differ,3.923059688011392,52,0
login,3.7594302642295894,44,0
selfridges,3.748256963631464,88,1
sumptuous,3.736957408377531,43,0
audio,3.7139678901528335,42,0
conditioned,3.6248401102568266,117,2
piazza,3.616329420588917,38,0
sophistication,3.5990876141544117,114,2
condiments,3.5362867129153805,35,0
opera,3.5362867129153805,35,0
allocation,3.5081158359486846,34,0
ing,3.479128299075432,33,0
signature,3.479128299075432,33,0
aircon,3.4185036772589967,31,0
representative,3.402755320290858,62,1
james's,3.386754978944417,30,0
