word,score,high_count,low_count
lockable,-4.281338730137989,0,68
cleanings,-4.09028349337528,0,56
voucher,-4.07258391627588,0,55
compulsory,-4.07258391627588,0,55
female,-3.8973798272507887,3,187
tax,-3.7107938716703774,0,38
women,-3.684818385267116,0,37
flatmates,-3.5129681283404572,0,31
chest,-3.4972197713723165,3,125
transfer,-3.4649589091540953,1,60
eats,-3.448429607202886,1,59
females,-3.4316224888865037,1,58
thornton,-3.414528055527205,0,28
male,-3.414528055527205,0,28
electricity,-3.3794367357159345,1,55
studying,-3.2661080504089313,0,24
lgbtq,-3.1382746788990463,0,21
feltham,-3.1382746788990463,0,21
harlington,-3.091754663264153,0,20
conveniantly,-3.091754663264153,0,20
